,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,ConvTranPlus,12224,8.21835708618164,8.3432035446167,8.839588165283203,9.297783851623535,14,50
1,ConvTranPlus,12224,7.579740524291992,7.713151931762695,8.209097862243652,8.696157455444336,29,100
2,ConvTranPlus,12224,6.730014801025391,6.8266921043396,7.322104454040527,7.823212146759033,45,150
3,ConvTranPlus,12224,5.643496513366699,5.741890907287598,6.235684394836426,6.741675853729248,62,200
4,ConvTranPlus,12224,4.5591721534729,4.5756754875183105,5.067169666290283,5.584780693054199,78,250
5,ConvTranPlus,12224,3.4964325428009033,3.5101263523101807,3.997373342514038,4.523187637329102,95,300
6,ConvTranPlus,12224,2.499847412109375,2.5026462078094482,2.9784953594207764,3.510648488998413,111,350
7,ConvTranPlus,12224,1.6590991020202637,1.6352421045303345,2.0897912979125977,2.6025872230529785,127,400
8,ConvTranPlus,12224,1.0415836572647095,0.9702965021133423,1.387640357017517,1.8415501117706299,143,450
9,ConvTranPlus,12224,0.7397443056106567,0.6652296185493469,1.0548090934753418,1.441360592842102,159,500
10,ConvTranPlus,12224,0.6940415501594543,0.5882818102836609,0.9698624014854431,1.3308241367340088,175,550
11,ConvTranPlus,12224,0.6768918037414551,0.5598822832107544,0.9367035031318665,1.2875794172286987,191,600
