,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,InceptionTimePlus,454977,5.786227703094482,5.909857273101807,6.406282901763916,6.812324523925781,31,50
1,InceptionTimePlus,454977,4.972391128540039,5.149577617645264,5.646069526672363,6.077347278594971,64,100
2,InceptionTimePlus,454977,4.30442476272583,4.469263553619385,4.964651107788086,5.428884029388428,96,150
3,InceptionTimePlus,454977,3.580700635910034,3.7910828590393066,4.283555507659912,4.777737140655518,128,200
4,InceptionTimePlus,454977,2.856152296066284,3.010328769683838,3.4983415603637695,4.019806385040283,160,250
5,InceptionTimePlus,454977,2.1505610942840576,2.245882272720337,2.723656415939331,3.225496530532837,191,300
6,InceptionTimePlus,454977,1.4903085231781006,1.5420408248901367,2.0100181102752686,2.4206485748291016,223,350
7,InceptionTimePlus,454977,0.895993173122406,0.8567217588424683,1.2721112966537476,1.6554292440414429,255,400
8,InceptionTimePlus,454977,0.639025866985321,0.5774211287498474,0.9536764621734619,1.3099521398544312,287,450
9,InceptionTimePlus,454977,0.48916226625442505,0.5382207036018372,0.9073024988174438,1.2585681676864624,382,600
10,InceptionTimePlus,454977,0.554578959941864,0.5381841659545898,0.9098607897758484,1.250246524810791,318,500
11,InceptionTimePlus,454977,0.4897000789642334,0.5264282822608948,0.8928698301315308,1.2398823499679565,350,550
