MOD15A2H.A2000049.h12v09.006.2020041201756.Fpar_500m,MOD15A2H,A2000049,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041201756,0.83,0.82,0.82,0.81,0.81,0.79,0.74,F,F,F,F,0.87,0.87,F,0.38,0.38,F,F,0.78,0.78,F,F,0.79,0.74,0.74,0.82,F,F,F,F,0.7,0.38,0.38,0.05,F,0.82,0.82,0.77,F,F,0.37,0.37,F,F,F,F,0.7,0.7,0.38,0.38,F,F,F,F,F,F,F,0.3,0.27,0.16,F,F,F,F,F,0.22,0.22,0.08,F,F,F,0.44,0.24,0.29,0.23,0.23,0.1,F,F,F,F,F,F,F,F,F,0.12,F,F,F,F,F,0.08,0.08,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.87,F,F,F,F,F,F,0.26,0.25,0.25,0.15,F,F,F,F,F,F,F,F,F,F,F,0.84,0.57,0.57,0.39,0.39,0.15,F,F,F,F,F,F,F,0.84,0.84,F,F,F,0.71,0.57,0.39,0.39,0.33,F,F,F,F,F,F,F,0.73,0.73,0.64,0.64,F,0.71,0.71,0.42,0.25,0.25,F,F,F,F,F,F,F,0.39,0.39,0.64,0.47,0.47,0.38,0.38,F,F,F,F,F,F,F,F,F,F,0.39,0.39,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.87,0.82,0.85,0.85,F,F,F,F,F,0.12,0.05,0.05,F,F,F,F,F,F
MOD15A2H.A2000057.h12v09.006.2020037215345.Fpar_500m,MOD15A2H,A2000057,Lat-1.719720006Lon-51.45899963Samp17Line17,2020037215345,0.85,F,F,F,F,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,F,0.74,0.74,0.74,F,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,0.72,0.72,0.74,0.74,F,F,F,F,F,F,F,F,F,F,F,F,F,0.72,0.72,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.12,0.12,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,0.29,0.27,0.27,0.27,0.12,0.07,F,F,F,F,F,F,F,F,F,F,0.29,0.29,0.29,0.24,0.24,0.24,0.07,0.07,0.05,F,F,F,F,F,F,F,F,F,F,0.14,0.14,0.14,0.26,0.26,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,0.26,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.8,0.29,0.29,F,F,F,0.86,0.86,F,0.62,0.25,F,F,F,F,0.86,F,F,0.77,0.84,0.84,F,F,F,0.8,0.79,0.65,0.65,F,F,F,0.78,0.86,0.86,0.77,0.77,0.8,0.81,0.81,0.8,0.8,0.73,0.73,0.73,0.73,F,F,F
MOD15A2H.A2000065.h12v09.006.2020038182613.Fpar_500m,MOD15A2H,A2000065,Lat-1.719720006Lon-51.45899963Samp17Line17,2020038182613,0.11,F,F,F,F,F,0.49,0.12,0.12,F,F,F,F,F,F,F,F,0.9,F,F,F,F,F,0.77,0.05,F,F,F,F,F,F,F,F,F,0.9,0.9,F,F,F,F,F,0.05,0.15,0.15,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.78,0.78,F,F,0.55,F,F,F,F,0.34,F,F,F,F,F,F,F,0.81,F,F,F,0.89,0.05,F,F,F,0.51,0.51,F,F,F,F,F,F,F,F,F,0.82,0.05,0.05,0.05,F,0.75,F,F,F,0.57,F,F,F,F,0.05,0.45,0.45,0.35,0.05,0.87,0.85,0.85,F,0.87,0.87,0.87,0.57,F,F,F,F,0.5,0.5,0.89,0.35,0.05,0.05,0.07,F,F,0.55,0.77,0.87,0.87,0.87,0.86,0.87,0.87,0.9,0.9,0.19,0.19,F,F,0.05,F,F,F,0.77,F,F,F,0.05,F,F,0.26,0.25,0.15,F,0.9,0.9,0.05,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,0.05,F,F,F,F,F,F,F,F,0.82,0.82,F,F,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,0.82,0.76,0.76,0.35,0.32,0.05,F,F,F,F,F,F,F,0.9,0.9,0.82,0.82,0.76,0.73,0.74,0.74,0.32,0.32,F,F,F,F,F,F,0.77,0.58,0.9,0.85,0.82,0.76,0.73,0.73,0.74,0.8,F,0.9,0.9,F,F,F,0.87,0.87,0.83,0.83,0.85,0.85,0.82,0.78,0.33,0.33,0.25,0.87,0.9,F,F,F,0.9,0.9,0.9,0.86,0.86,0.9,0.9,F,0.78,0.78,0.25,0.25,F
MOD15A2H.A2000073.h12v09.006.2020040184845.Fpar_500m,MOD15A2H,A2000073,Lat-1.719720006Lon-51.45899963Samp17Line17,2020040184845,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.87,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.86,0.36,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.18,F,F,F,0.1,F,F,F,F,F,F,F,F,F,0.88,0.88,0.85,0.34,F,F,F,0.14,0.1,F,F,F,F,F,F,F,F,0.88,0.87,0.87,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000081.h12v09.006.2020040173410.Fpar_500m,MOD15A2H,A2000081,Lat-1.719720006Lon-51.45899963Samp17Line17,2020040173410,0.05,0.05,F,F,F,0.05,0.89,0.89,F,F,F,F,F,F,F,F,F,0.05,0.05,F,F,0.58,0.12,0.89,0.89,0.89,0.88,0.51,F,F,F,F,F,F,F,0.05,0.85,0.85,0.66,0.35,F,0.89,0.89,0.88,0.86,F,F,F,F,F,F,0.89,F,0.89,0.83,F,0.89,0.88,F,F,0.89,0.87,F,0.88,0.05,F,F,F,0.88,0.89,F,0.87,F,F,0.88,0.78,0.78,0.65,0.41,0.88,0.88,0.11,F,F,F,F,F,0.88,0.89,F,F,0.33,0.89,0.89,0.41,0.5,0.88,0.85,0.85,0.11,0.29,F,F,F,0.31,0.89,F,0.88,F,F,0.88,0.85,0.67,0.89,0.73,F,F,0.89,0.87,0.59,0.88,0.31,F,F,0.88,0.89,F,0.88,0.87,0.67,F,F,0.88,F,F,F,F,0.59,0.32,0.13,F,F,F,0.89,0.89,0.87,0.4,F,F,0.88,F,F,F,F,0.45,0.45,0.88,0.87,0.89,0.89,0.88,0.89,0.89,0.84,F,0.87,0.89,0.88,0.88,F,F,0.88,0.87,0.88,F,0.88,F,F,0.89,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.88,F,0.73,0.73,0.87,0.88,0.61,F,F,F,0.88,0.87,0.87,0.82,0.82,0.88,0.88,0.87,F,F,F,0.88,F,0.85,F,F,F,F,F,F,0.82,0.8,0.88,0.89,0.89,F,0.88,0.88,F,F,0.87,F,F,F,0.89,0.87,0.87,0.84,F,0.88,0.79,0.79,0.88,0.88,0.88,0.88,0.89,0.87,0.88,0.89,0.87,0.87,0.83,F,F,0.86,0.87,F,F,0.87,0.89,0.89,0.87,0.77,F,0.33,0.89,0.84,0.86,0.87,F,F,0.43,F,0.84,F,0.87,0.89,0.89,0.89,0.77,0.05,0.89,0.38,0.38,0.12,0.89,0.89,F,0.29,F,0.84,F
MOD15A2H.A2000089.h12v09.006.2020041193535.Fpar_500m,MOD15A2H,A2000089,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041193535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,0.88
MOD15A2H.A2000097.h12v09.006.2020041040336.Fpar_500m,MOD15A2H,A2000097,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041040336,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,F,F,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,F,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.9,0.9,0.9,F,F,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.88,0.89,0.9,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,0.9,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,0.9,0.9,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.87,0.88,0.88,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.89,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,F,F,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,F,F,0.9,0.9,0.9,F,0.85,0.9,F,0.9,0.9,0.89,0.89,0.9,0.9,0.9,F,F,F,0.9,F,F,F,F,0.85,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,0.33,0.33,0.33,0.25,0.05,0.05,F,F,F
MOD15A2H.A2000105.h12v09.006.2020041070512.Fpar_500m,MOD15A2H,A2000105,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041070512,F,F,F,F,F,F,F,F,F,F,F,F,0.86,F,F,F,0.89,F,F,F,F,F,F,F,F,F,F,F,F,0.87,F,F,F,F,F,F,F,F,0.88,F,F,F,F,F,F,0.87,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.51,F,F,F,F,F,F,F,F,F,F,F,0.85,0.75,F,F,F,F,0.88,F,F,F,F,F,F,F,F,F,F,0.88,0.43,F,F,F,F,0.88,0.86,F,F,F,F,F,F,F,F,F,F,0.81,0.84,0.43,F,F,F,0.87,F,F,F,F,F,F,F,F,F,0.81,0.84,0.84,0.43,F,F,F,F,F,F,F,0.57,F,F,F,F,F,F,F,F,0.83,F,F,0.11,F,F,F,F,0.57,0.57,0.4,0.4,F,F,0.68,0.81,0.84,0.83,0.82,F,F,F,F,F,F,F,F,F,0.3,0.3,0.35,F,F,0.84,0.86,0.84,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.82,0.81,0.54,F,0.47,F,F,F,F,F,F,F,F,F,F,F,F,0.84,F,F,F,0.79,F,F,F,F,F,0.26,F,F,F,F,F,0.84,0.84,0.73,F,F,0.75,0.67,0.18,F,F,F,0.39,0.4,F,F,0.72,0.81,0.46,F,F,F,0.84,0.75,0.8,F,F,F,F,F,0.4,F,F,F,0.82,F,0.24,F,F,0.84,F,0.72,F,F,F,F,F,0.12,F,F
MOD15A2H.A2000113.h12v09.006.2020041213243.Fpar_500m,MOD15A2H,A2000113,Lat-1.719720006Lon-51.45899963Samp17Line17,2020041213243,0.73,F,0.14,0.05,0.45,0.16,0.16,0.29,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,0.44,0.44,0.43,0.1,0.1,0.05,0.05,F,F,F,0.86,0.86,F,F,0.35,0.13,0.13,0.19,0.19,0.21,0.05,0.05,0.05,0.05,0.05,F,F,0.87,0.86,F,F,F,0.05,F,F,0.05,0.05,0.05,0.05,F,F,0.05,F,F,0.87,F,F,F,0.05,F,F,0.05,F,F,F,F,F,F,F,F,F,F,0.87,0.87,F,0.05,0.43,0.15,0.19,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,0.43,0.05,0.1,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,0.86,F,0.1,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,0.84,0.85,F,F,F,0.12,F,F,F,F,F,F,F,F,F,F,F,0.05,F,F,F,0.12,0.12,F,F,0.05,0.05,F,F,F,F,F,F,F,0.43,0.43,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.83,0.83,F,0.43,F,F,F,F,F,F,F,F,F,F,F,F,F,0.83,0.81,0.81,0.43,0.05,F,F,F,F,F,F,F,0.05,0.05,0.05,F,F,0.16,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.27,0.27,0.05,F,F,F,F,F,F,0.05,0.05,F,F,F,F,F,F,0.17,0.17,0.11,F,F,F,F,F,F,0.12,0.05,0.05,F,F,F,F,F,F,0.11,0.11,F,0.08,F,F,F,F,0.75,0.56,0.05,F,F,F,0.05,0.05
MOD15A2H.A2000121.h12v09.006.2020042013349.Fpar_500m,MOD15A2H,A2000121,Lat-1.719720006Lon-51.45899963Samp17Line17,2020042013349,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,0.16,F,F,F,F,F,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000129.h12v09.006.2020042170340.Fpar_500m,MOD15A2H,A2000129,Lat-1.719720006Lon-51.45899963Samp17Line17,2020042170340,F,F,F,F,F,F,F,F,0.89,0.89,0.89,0.88,0.88,0.76,0.86,0.87,0.53,F,F,F,F,F,F,F,F,F,0.89,0.89,0.88,0.88,F,0.86,F,F,0.89,0.88,0.88,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,0.88,F,F,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,F,F,F,F,F,F,F,F,F,0.88,0.88,0.88,0.89,F,F,F,F,F,0.36,0.13,0.13,F,F,F,0.86,F,F,0.88,0.88,0.89,0.89,0.89,0.89,F,0.87,F,0.16,0.13,0.22,F,0.87,0.86,0.87,0.87,0.87,0.89,0.89,F,F,F,F,0.9,0.9,0.16,0.26,0.26,0.15,0.88,0.88,0.87,0.89,F,F,F,F,F,F,F,F,0.9,F,0.87,0.87,0.89,0.89,0.88,0.88,0.89,F,F,F,0.88,0.88,F,0.16,F,0.11,0.88,0.88,0.4,F,0.86,0.86,F,F,F,0.05,0.89,0.89,0.9,0.9,0.52,0.2,F,F,F,F,F,0.85,F,F,F,F,F,F,F,F,F,F,F,F,0.13,F,0.81,F,F,F,F,F,F,F,F,F,F,F,F,F,0.26,0.13,F,0.81,0.81,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,F,F,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.31,0.31,F,F,F,F,F,F,F,F,F,F,0.21,F,F,F,0.88,0.21,0.31,F,F,F,F,0.16,F,F,F,0.87,F,F,F,0.57,0.88,0.88,0.21,F,F,F,F,0.29,0.29,0.27,F,F,0.87,0.87,F,F,F,0.83,0.88
