MOD15A2H.A2000049.h12v08.006.2020041201957.Fpar_500m,MOD15A2H,A2000049,Lat5.278771877Lon-52.92486191Samp17Line17,2020041201957,0.0,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,255.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,255.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,7.0,25.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,12.0,14.0,25.0,8.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,6.0,6.0,3.0,0.0,5.0,6.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,7.0,4.0,3.0,6.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,6.0,4.0,3.0,3.0,6.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,6.0,6.0,5.0,3.0,8.0,8.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,255.0,2.0,2.0,6.0
MOD15A2H.A2000057.h12v08.006.2020037215117.Fpar_500m,MOD15A2H,A2000057,Lat5.278771877Lon-52.92486191Samp17Line17,2020037215117,26.0,40.0,45.0,59.0,59.0,90.0,90.0,54.0,46.0,48.0,48.0,40.0,31.0,22.0,50.0,52.0,45.0,25.0,40.0,72.0,90.0,90.0,90.0,90.0,90.0,90.0,84.0,75.0,33.0,23.0,32.0,50.0,50.0,73.0,69.0,69.0,80.0,86.0,84.0,90.0,90.0,89.0,90.0,89.0,43.0,24.0,24.0,32.0,43.0,39.0,29.0,47.0,90.0,90.0,90.0,5.0,90.0,90.0,90.0,55.0,76.0,62.0,28.0,34.0,34.0,52.0,49.0,43.0,64.0,90.0,5.0,5.0,5.0,90.0,51.0,29.0,45.0,45.0,90.0,28.0,90.0,100.0,100.0,69.0,48.0,41.0,45.0,89.0,98.0,98.0,51.0,28.0,13.0,10.0,12.0,74.0,74.0,100.0,99.0,68.0,90.0,90.0,41.0,45.0,80.0,92.0,26.0,26.0,28.0,28.0,25.0,73.0,73.0,100.0,100.0,94.0,85.0,92.0,90.0,48.0,69.0,31.0,48.0,90.0,84.0,84.0,54.0,84.0,25.0,23.0,41.0,41.0,82.0,82.0,48.0,48.0,74.0,74.0,15.0,24.0,94.0,93.0,54.0,84.0,84.0,52.0,45.0,45.0,45.0,31.0,39.0,78.0,48.0,46.0,49.0,49.0,89.0,49.0,93.0,70.0,29.0,29.0,31.0,31.0,54.0,72.0,100.0,100.0,100.0,96.0,44.0,43.0,76.0,72.0,72.0,42.0,42.0,13.0,8.0,7.0,31.0,97.0,72.0,67.0,89.0,89.0,65.0,44.0,93.0,93.0,53.0,53.0,29.0,29.0,9.0,28.0,22.0,22.0,97.0,100.0,92.0,74.0,30.0,54.0,98.0,100.0,100.0,44.0,52.0,29.0,29.0,19.0,50.0,92.0,76.0,76.0,100.0,89.0,79.0,54.0,84.0,90.0,100.0,100.0,44.0,50.0,50.0,44.0,44.0,50.0,92.0,87.0,90.0,84.0,84.0,99.0,99.0,100.0,96.0,96.0,83.0,83.0,76.0,95.0,90.0,90.0,83.0,100.0,93.0,90.0,77.0,92.0,92.0,75.0,90.0,95.0,95.0,44.0,44.0,14.0,89.0,90.0,90.0,94.0,94.0,78.0,55.0,26.0,29.0,45.0,51.0,51.0,100.0,90.0,90.0,44.0,24.0,24.0,53.0,64.0,70.0,26.0,26.0,24.0,20.0,29.0,27.0,89.0,89.0
MOD15A2H.A2000065.h12v08.006.2020038165445.Fpar_500m,MOD15A2H,A2000065,Lat5.278771877Lon-52.92486191Samp17Line17,2020038165445,21.0,39.0,38.0,25.0,16.0,18.0,25.0,23.0,18.0,17.0,14.0,32.0,85.0,85.0,85.0,100.0,100.0,100.0,100.0,39.0,17.0,21.0,18.0,18.0,17.0,17.0,13.0,16.0,32.0,100.0,72.0,100.0,100.0,100.0,79.0,18.0,17.0,17.0,12.0,16.0,11.0,11.0,18.0,11.0,16.0,16.0,84.0,33.0,100.0,100.0,100.0,35.0,17.0,7.0,17.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,82.0,82.0,82.0,100.0,100.0,8.0,11.0,8.0,7.0,11.0,17.0,25.0,23.0,18.0,31.0,12.0,16.0,82.0,82.0,100.0,100.0,100.0,8.0,9.0,12.0,14.0,13.0,13.0,20.0,21.0,5.0,5.0,41.0,14.0,10.0,10.0,34.0,34.0,34.0,20.0,20.0,25.0,17.0,17.0,17.0,19.0,21.0,18.0,14.0,25.0,10.0,10.0,10.0,34.0,41.0,34.0,20.0,20.0,25.0,25.0,17.0,17.0,17.0,20.0,14.0,11.0,8.0,9.0,9.0,26.0,46.0,41.0,87.0,20.0,20.0,23.0,23.0,100.0,100.0,10.0,9.0,9.0,9.0,9.0,24.0,46.0,46.0,46.0,77.0,29.0,20.0,23.0,23.0,23.0,45.0,41.0,100.0,24.0,12.0,45.0,100.0,27.0,24.0,43.0,14.0,14.0,34.0,19.0,19.0,13.0,17.0,20.0,41.0,13.0,13.0,12.0,87.0,14.0,11.0,21.0,27.0,27.0,27.0,34.0,19.0,14.0,15.0,17.0,21.0,12.0,12.0,19.0,17.0,13.0,12.0,11.0,11.0,11.0,11.0,14.0,15.0,17.0,14.0,11.0,20.0,23.0,23.0,23.0,29.0,25.0,14.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,16.0,13.0,12.0,12.0,18.0,13.0,38.0,17.0,14.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,19.0,16.0,30.0,34.0,18.0,20.0,12.0,12.0,21.0,15.0,12.0,22.0,14.0,5.0,11.0,11.0,11.0,19.0,52.0,100.0,88.0,76.0,24.0,24.0,19.0,21.0,14.0,12.0,15.0,11.0,11.0,11.0,11.0,11.0,100.0,100.0,100.0,91.0,73.0,24.0,14.0,19.0,15.0,12.0,13.0,20.0,12.0,12.0,9.0,9.0,20.0
MOD15A2H.A2000073.h12v08.006.2020040185314.Fpar_500m,MOD15A2H,A2000073,Lat5.278771877Lon-52.92486191Samp17Line17,2020040185314,7.0,11.0,11.0,9.0,9.0,43.0,49.0,48.0,13.0,9.0,87.0,86.0,86.0,15.0,8.0,8.0,11.0,8.0,8.0,10.0,10.0,25.0,25.0,77.0,48.0,16.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,11.0,4.0,8.0,8.0,10.0,16.0,82.0,77.0,94.0,44.0,11.0,13.0,13.0,8.0,7.0,7.0,7.0,7.0,7.0,11.0,8.0,10.0,16.0,82.0,92.0,92.0,42.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,7.0,7.0,8.0,7.0,12.0,26.0,26.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,3.0,3.0,4.0,7.0,8.0,85.0,100.0,100.0,39.0,6.0,6.0,6.0,6.0,6.0,11.0,9.0,9.0,4.0,4.0,4.0,4.0,5.0,16.0,29.0,49.0,49.0,29.0,6.0,6.0,6.0,18.0,18.0,9.0,9.0,6.0,6.0,6.0,6.0,4.0,6.0,29.0,37.0,39.0,39.0,15.0,6.0,9.0,43.0,72.0,12.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,14.0,11.0,24.0,36.0,8.0,8.0,12.0,43.0,27.0,10.0,9.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,14.0,65.0,12.0,42.0,47.0,10.0,9.0,9.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,14.0,65.0,96.0,96.0,84.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,23.0,74.0,85.0,77.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,19.0,19.0,55.0,90.0,51.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,19.0,19.0,90.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,42.0,5.0,5.0,8.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,7.0,6.0,14.0,40.0,40.0,8.0,8.0,16.0,16.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,11.0,54.0,74.0
MOD15A2H.A2000081.h12v08.006.2020040173612.Fpar_500m,MOD15A2H,A2000081,Lat5.278771877Lon-52.92486191Samp17Line17,2020040173612,4.0,5.0,5.0,13.0,46.0,59.0,59.0,71.0,62.0,62.0,13.0,7.0,14.0,48.0,59.0,72.0,72.0,7.0,4.0,34.0,13.0,46.0,40.0,40.0,13.0,11.0,11.0,12.0,8.0,48.0,48.0,42.0,44.0,44.0,7.0,7.0,34.0,34.0,56.0,38.0,33.0,33.0,39.0,8.0,12.0,8.0,42.0,42.0,33.0,40.0,20.0,8.0,8.0,23.0,14.0,14.0,17.0,7.0,7.0,43.0,8.0,8.0,62.0,50.0,9.0,9.0,19.0,24.0,55.0,55.0,84.0,39.0,39.0,17.0,8.0,43.0,43.0,21.0,41.0,41.0,83.0,6.0,6.0,19.0,24.0,50.0,75.0,75.0,67.0,25.0,15.0,15.0,15.0,15.0,10.0,11.0,11.0,25.0,29.0,11.0,27.0,68.0,39.0,20.0,20.0,67.0,31.0,25.0,17.0,66.0,26.0,26.0,18.0,8.0,25.0,29.0,44.0,44.0,45.0,13.0,20.0,26.0,26.0,42.0,31.0,31.0,63.0,76.0,76.0,18.0,11.0,13.0,16.0,63.0,45.0,45.0,12.0,15.0,11.0,11.0,18.0,20.0,17.0,23.0,76.0,30.0,30.0,15.0,16.0,15.0,30.0,52.0,52.0,15.0,15.0,16.0,18.0,18.0,16.0,23.0,23.0,36.0,12.0,14.0,11.0,23.0,11.0,16.0,52.0,24.0,44.0,44.0,69.0,49.0,20.0,13.0,20.0,20.0,41.0,12.0,11.0,8.0,10.0,18.0,25.0,29.0,76.0,51.0,51.0,69.0,49.0,50.0,50.0,42.0,46.0,46.0,41.0,14.0,9.0,9.0,16.0,25.0,22.0,22.0,17.0,69.0,69.0,32.0,51.0,51.0,94.0,98.0,45.0,45.0,14.0,42.0,42.0,56.0,31.0,31.0,9.0,15.0,44.0,44.0,25.0,32.0,90.0,90.0,95.0,45.0,45.0,11.0,41.0,41.0,35.0,34.0,43.0,43.0,12.0,39.0,33.0,38.0,30.0,30.0,90.0,95.0,13.0,13.0,21.0,72.0,22.0,22.0,25.0,43.0,43.0,29.0,41.0,38.0,38.0,25.0,27.0,79.0,79.0,80.0,90.0,90.0,82.0,77.0,22.0,25.0,29.0,10.0,90.0,90.0,85.0,35.0,27.0,27.0,49.0,49.0,82.0,65.0,36.0,82.0,77.0,84.0,84.0,60.0,19.0
MOD15A2H.A2000089.h12v08.006.2020041193209.Fpar_500m,MOD15A2H,A2000089,Lat5.278771877Lon-52.92486191Samp17Line17,2020041193209,10.0,22.0,92.0,93.0,93.0,35.0,87.0,95.0,95.0,87.0,85.0,94.0,94.0,88.0,81.0,81.0,93.0,15.0,29.0,93.0,100.0,87.0,87.0,84.0,97.0,92.0,92.0,94.0,83.0,84.0,93.0,93.0,92.0,92.0,31.0,86.0,86.0,53.0,88.0,86.0,84.0,81.0,76.0,86.0,86.0,95.0,93.0,93.0,92.0,92.0,92.0,46.0,36.0,36.0,85.0,88.0,86.0,86.0,81.0,93.0,85.0,85.0,81.0,5.0,93.0,94.0,94.0,92.0,36.0,16.0,16.0,99.0,99.0,100.0,94.0,94.0,89.0,87.0,77.0,81.0,92.0,92.0,93.0,93.0,93.0,5.0,15.0,25.0,83.0,83.0,100.0,93.0,94.0,94.0,87.0,90.0,80.0,93.0,93.0,93.0,92.0,92.0,5.0,12.0,11.0,100.0,85.0,100.0,100.0,94.0,97.0,97.0,94.0,94.0,92.0,97.0,93.0,93.0,98.0,18.0,18.0,32.0,44.0,85.0,93.0,93.0,71.0,71.0,91.0,91.0,91.0,91.0,85.0,94.0,94.0,100.0,12.0,11.0,10.0,18.0,34.0,100.0,100.0,100.0,100.0,85.0,85.0,88.0,89.0,89.0,83.0,83.0,83.0,8.0,10.0,10.0,12.0,34.0,29.0,77.0,100.0,100.0,49.0,49.0,88.0,87.0,96.0,96.0,29.0,29.0,11.0,23.0,17.0,17.0,93.0,93.0,77.0,97.0,81.0,81.0,87.0,87.0,87.0,82.0,42.0,18.0,18.0,15.0,23.0,44.0,33.0,43.0,43.0,5.0,26.0,83.0,83.0,83.0,56.0,56.0,32.0,32.0,34.0,34.0,100.0,100.0,32.0,32.0,60.0,60.0,5.0,26.0,5.0,5.0,12.0,12.0,15.0,18.0,32.0,29.0,29.0,80.0,80.0,32.0,32.0,84.0,60.0,5.0,17.0,16.0,13.0,100.0,100.0,28.0,18.0,18.0,11.0,11.0,88.0,47.0,47.0,57.0,84.0,51.0,51.0,17.0,16.0,53.0,53.0,100.0,28.0,21.0,15.0,13.0,9.0,33.0,35.0,32.0,57.0,76.0,46.0,33.0,29.0,8.0,15.0,5.0,5.0,32.0,34.0,15.0,15.0,9.0,33.0,33.0,31.0,28.0,45.0,85.0,85.0,46.0,46.0,42.0,5.0,5.0,29.0,29.0,18.0,18.0,7.0
MOD15A2H.A2000097.h12v08.006.2020041040357.Fpar_500m,MOD15A2H,A2000097,Lat5.278771877Lon-52.92486191Samp17Line17,2020041040357,13.0,12.0,9.0,9.0,7.0,12.0,12.0,12.0,12.0,12.0,22.0,22.0,22.0,23.0,14.0,14.0,14.0,8.0,8.0,7.0,7.0,7.0,15.0,15.0,23.0,12.0,22.0,22.0,22.0,16.0,16.0,10.0,11.0,8.0,10.0,6.0,7.0,7.0,15.0,15.0,15.0,23.0,23.0,31.0,31.0,31.0,19.0,19.0,14.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,12.0,12.0,7.0,31.0,12.0,15.0,12.0,9.0,8.0,10.0,20.0,10.0,8.0,7.0,7.0,6.0,12.0,12.0,12.0,8.0,13.0,13.0,11.0,9.0,9.0,10.0,10.0,20.0,13.0,13.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,12.0,12.0,16.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,13.0,11.0,12.0,28.0,28.0,5.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,9.0,10.0,13.0,20.0,20.0,18.0,18.0,14.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,9.0,9.0,13.0,11.0,11.0,9.0,9.0,14.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,19.0,18.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,18.0,18.0,13.0,8.0,8.0,11.0,7.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,18.0,18.0,10.0,7.0,6.0,7.0,6.0,7.0,8.0,9.0,9.0,11.0,10.0,9.0,7.0,6.0,6.0,10.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,5.0
MOD15A2H.A2000105.h12v08.006.2020041070129.Fpar_500m,MOD15A2H,A2000105,Lat5.278771877Lon-52.92486191Samp17Line17,2020041070129,33.0,30.0,75.0,56.0,56.0,82.0,89.0,84.0,89.0,43.0,56.0,70.0,35.0,35.0,49.0,40.0,38.0,53.0,31.0,37.0,42.0,95.0,95.0,93.0,51.0,35.0,43.0,35.0,35.0,33.0,34.0,91.0,89.0,42.0,53.0,39.0,36.0,36.0,92.0,93.0,35.0,35.0,35.0,29.0,35.0,36.0,35.0,34.0,34.0,60.0,42.0,31.0,31.0,33.0,33.0,37.0,37.0,34.0,34.0,31.0,31.0,36.0,36.0,37.0,48.0,48.0,60.0,77.0,27.0,31.0,33.0,33.0,28.0,28.0,25.0,25.0,23.0,24.0,24.0,40.0,57.0,34.0,51.0,51.0,67.0,27.0,27.0,26.0,26.0,22.0,14.0,14.0,11.0,24.0,24.0,24.0,55.0,40.0,33.0,39.0,33.0,40.0,17.0,17.0,19.0,11.0,11.0,9.0,14.0,16.0,39.0,18.0,16.0,27.0,40.0,30.0,31.0,33.0,35.0,17.0,12.0,12.0,11.0,11.0,29.0,33.0,60.0,48.0,22.0,15.0,15.0,15.0,30.0,31.0,31.0,37.0,17.0,15.0,28.0,28.0,45.0,63.0,65.0,51.0,25.0,18.0,18.0,15.0,15.0,15.0,26.0,26.0,34.0,46.0,8.0,8.0,22.0,22.0,63.0,60.0,37.0,16.0,25.0,14.0,14.0,16.0,13.0,16.0,21.0,21.0,19.0,6.0,8.0,12.0,26.0,26.0,17.0,9.0,16.0,34.0,29.0,22.0,16.0,29.0,20.0,21.0,21.0,8.0,5.0,6.0,12.0,6.0,17.0,24.0,24.0,49.0,48.0,54.0,22.0,75.0,75.0,44.0,22.0,14.0,16.0,39.0,6.0,13.0,10.0,33.0,65.0,89.0,89.0,89.0,54.0,56.0,89.0,66.0,24.0,24.0,21.0,89.0,39.0,41.0,41.0,56.0,73.0,77.0,89.0,89.0,89.0,58.0,65.0,45.0,20.0,20.0,29.0,29.0,89.0,94.0,52.0,61.0,61.0,89.0,89.0,89.0,89.0,89.0,72.0,72.0,33.0,5.0,5.0,36.0,27.0,91.0,94.0,89.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,52.0,31.0,31.0,36.0,25.0,36.0,15.0,35.0,36.0,89.0,93.0,89.0,89.0,89.0,89.0,76.0,89.0,52.0,21.0,27.0,27.0,25.0,49.0,74.0
MOD15A2H.A2000113.h12v08.006.2020041213506.Fpar_500m,MOD15A2H,A2000113,Lat5.278771877Lon-52.92486191Samp17Line17,2020041213506,7.0,7.0,7.0,6.0,7.0,5.0,3.0,4.0,6.0,5.0,6.0,12.0,22.0,22.0,8.0,12.0,42.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,6.0,12.0,12.0,49.0,6.0,5.0,7.0,7.0,7.0,5.0,4.0,5.0,5.0,7.0,8.0,8.0,9.0,7.0,12.0,10.0,10.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,7.0,9.0,9.0,7.0,11.0,9.0,11.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,11.0,29.0,5.0,7.0,6.0,7.0,6.0,5.0,5.0,4.0,5.0,5.0,7.0,8.0,7.0,8.0,9.0,11.0,18.0,5.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,15.0,13.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,7.0,7.0,8.0,8.0,10.0,11.0,13.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,8.0,11.0,9.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,8.0,8.0,11.0,9.0,9.0,8.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,5.0,8.0,8.0,12.0,48.0,20.0,8.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,4.0,7.0,10.0,10.0,100.0,20.0,20.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,8.0,10.0,100.0,40.0,8.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,8.0,10.0,10.0,9.0,6.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,7.0,16.0,16.0,10.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,12.0,12.0,12.0,7.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,7.0,7.0,5.0,5.0,5.0,10.0,14.0,12.0,7.0
MOD15A2H.A2000121.h12v08.006.2020042013337.Fpar_500m,MOD15A2H,A2000121,Lat5.278771877Lon-52.92486191Samp17Line17,2020042013337,6.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,8.0,9.0,7.0,7.0,16.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,8.0,8.0,9.0,7.0,7.0,11.0,6.0,7.0,7.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,8.0,15.0,9.0,17.0,17.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,8.0,8.0,11.0,9.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,5.0,4.0,8.0,7.0,7.0,9.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,4.0,4.0,5.0,4.0,4.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,8.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,9.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,9.0
