,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,RNNPlus,10401,6.956190586090088,7.076202869415283,7.572446823120117,8.000166893005371,8,50
1,RNNPlus,10401,5.453252792358398,5.578269004821777,6.072688102722168,6.612992763519287,17,100
2,RNNPlus,10401,4.219579219818115,4.366319179534912,4.857700347900391,5.522712230682373,26,150
3,RNNPlus,10401,3.3943371772766113,3.513087034225464,3.9966797828674316,4.777104377746582,35,200
4,RNNPlus,10401,2.769911527633667,2.8948259353637695,3.367070436477661,4.25132417678833,44,250
5,RNNPlus,10401,2.3358213901519775,2.459453582763672,2.916654109954834,3.8850533962249756,53,300
6,RNNPlus,10401,2.0946662425994873,2.19816255569458,2.642773389816284,3.660580635070801,62,350
7,RNNPlus,10401,1.991591215133667,2.087949752807617,2.5331363677978516,3.546053409576416,72,400
8,RNNPlus,10401,1.9536758661270142,2.0351874828338623,2.479773759841919,3.4676530361175537,81,450
9,RNNPlus,10401,1.9080575704574585,1.9842920303344727,2.4279489517211914,3.386913776397705,91,500
10,RNNPlus,10401,1.8483335971832275,1.9229165315628052,2.3650777339935303,3.2933156490325928,100,550
11,RNNPlus,10401,1.7814435958862305,1.846153974533081,2.285557985305786,3.181459426879883,109,600
