,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,ResNetPlus,478337,6.318917751312256,6.461373329162598,6.959643840789795,7.396279335021973,20,50
1,ResNetPlus,478337,5.457365036010742,5.589215278625488,6.085323333740234,6.5628662109375,41,100
2,ResNetPlus,478337,4.798303127288818,4.925039768218994,5.420637130737305,5.898705959320068,62,150
3,ResNetPlus,478337,4.168734550476074,4.318830966949463,4.813251495361328,5.309016704559326,83,200
4,ResNetPlus,478337,3.497645854949951,3.6227495670318604,4.115859031677246,4.62497091293335,104,250
5,ResNetPlus,478337,2.7936835289001465,2.908083200454712,3.395216941833496,3.9108660221099854,126,300
6,ResNetPlus,478337,2.0972301959991455,2.189077854156494,2.6648077964782715,3.1502761840820312,147,350
7,ResNetPlus,478337,1.3956676721572876,1.436574935913086,1.8913850784301758,2.3155970573425293,168,400
8,ResNetPlus,478337,0.8479514122009277,0.8510154485702515,1.264177918434143,1.6489900350570679,189,450
9,ResNetPlus,478337,0.6207325458526611,0.5760186314582825,0.9542993307113647,1.3088620901107788,211,500
10,ResNetPlus,478337,0.5438757538795471,0.5251543521881104,0.8920977115631104,1.2403465509414673,231,550
11,ResNetPlus,478337,0.5354020595550537,0.52457594871521,0.8930671811103821,1.2344602346420288,252,600
