,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,TSSequencerPlus,210481,1.9679856300354004,2.067103147506714,2.5352163314819336,3.0427215099334717,42,50
1,TSSequencerPlus,210481,1.386107087135315,1.4381234645843506,1.8798363208770752,2.3881137371063232,85,100
2,TSSequencerPlus,210481,1.0050644874572754,1.0455540418624878,1.4635390043258667,1.929089069366455,128,150
3,TSSequencerPlus,210481,0.8207467794418335,0.8416911959648132,1.2474912405014038,1.6623694896697998,169,200
4,TSSequencerPlus,210481,0.7473337054252625,0.7434731125831604,1.1418370008468628,1.5289664268493652,209,250
5,TSSequencerPlus,210481,0.7251318693161011,0.6907874941825867,1.0844193696975708,1.458120584487915,250,300
6,TSSequencerPlus,210481,0.6902480721473694,0.6543908715248108,1.0450655221939087,1.407388687133789,291,350
7,TSSequencerPlus,210481,0.6614134907722473,0.6188898086547852,1.0061864852905273,1.36213219165802,332,400
8,TSSequencerPlus,210481,0.6233323216438293,0.5904273390769958,0.9742586016654968,1.3242210149765015,375,450
9,TSSequencerPlus,210481,0.6089274287223816,0.573486328125,0.9531021118164062,1.3015872240066528,418,500
10,TSSequencerPlus,210481,0.5962491631507874,0.5584431290626526,0.9354627132415771,1.2814443111419678,461,550
11,TSSequencerPlus,210481,0.5892296433448792,0.5477206110954285,0.9230850338935852,1.2669777870178223,502,600
