,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,XCMPlus,5635,8.343626022338867,8.454995155334473,8.95416259765625,9.281792640686035,14,50
1,XCMPlus,5635,7.9715704917907715,8.07514762878418,8.573694229125977,8.906987190246582,28,100
2,XCMPlus,5635,7.585607051849365,7.669607639312744,8.167649269104004,8.505870819091797,41,150
3,XCMPlus,5635,7.1851372718811035,7.281044006347656,7.778481483459473,8.123700141906738,55,200
4,XCMPlus,5635,6.755365371704102,6.863931655883789,7.359745025634766,7.733858585357666,68,250
5,XCMPlus,5635,6.200523376464844,6.341370105743408,6.837305545806885,7.242916584014893,81,300
6,XCMPlus,5635,5.635550022125244,5.803806781768799,6.299131393432617,6.739207744598389,94,350
7,XCMPlus,5635,5.123713493347168,5.276525020599365,5.770674228668213,6.23775053024292,108,400
8,XCMPlus,5635,4.655772686004639,4.770416259765625,5.263748645782471,5.756208419799805,122,450
9,XCMPlus,5635,4.158665657043457,4.29803991317749,4.788479328155518,5.311722755432129,135,500
10,XCMPlus,5635,3.700662136077881,3.8401381969451904,4.328996658325195,4.878960609436035,149,550
11,XCMPlus,5635,3.2103617191314697,3.369652509689331,3.8565611839294434,4.420603275299072,161,600
