,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.751224517822266,8.722965240478516,9.222963333129883,9.458887100219727,97
1,PatchTST,{},6318090,8.039228439331055,8.084800720214844,8.61161994934082,8.97146987915039,161
2,XCMPlus,{},5635,8.110420227050781,8.073341369628906,8.572041511535645,8.959488868713379,29
3,ConvTranPlus,{},12224,7.472790241241455,7.415727138519287,7.910397529602051,8.482795715332031,35
4,RNNPlus,{},10401,5.852115154266357,5.82149076461792,6.315695762634277,6.900526523590088,19
5,ResNetPlus,{},478337,5.653903961181641,5.631013870239258,6.1290602684021,6.512659549713135,81
6,InceptionTimePlus,{},454977,5.248087406158447,5.24307107925415,5.740448474884033,6.09099006652832,133
7,TSSequencerPlus,{},210481,1.5794802904129028,1.6092506647109985,2.0564939975738525,2.633089065551758,217
8,XceptionTimePlus,{},234865,1.6070106029510498,1.5101062059402466,1.962230920791626,2.6361424922943115,169
9,TransformerLSTMPlus,{},858753,1.186522364616394,1.1258281469345093,1.5502324104309082,2.1040191650390625,128
10,TransformerGRUPlus,{},792705,1.028725504875183,0.9820616245269775,1.3885496854782104,1.9308276176452637,235
