Month,RMSE,LUE_Max,Tmin_min,Tmin_max,VPD_min,VPD_max,N_Pop,N_ger,Seed,Melhora %,Tempo_Exec(s)
Janeiro,3.0917126423874954,0.002960225418786879,-2.000000050941403,26.004473848995673,231.98062845886633,1607.8222912656388,3000,200,1,36.53676114061549,1600.114993095398
Fevereiro,2.54059976909933,0.002456091968521683,-2.0000000000000315,24.11769078286722,469.833575713045,1500.0000000000007,3000,200,1,41.47345480333893,1620.4089279174805
Março,3.9590944543853803,0.003,-22.09679713205732,9.084636414944624,336.8575270941369,1506.0031851673878,3000,200,1,37.113097943149775,1618.1399257183075
Abril,2.915960634178422,0.0020964436862506847,-2.0000000000029736,25.605408558428877,479.6750212572467,1500.0000000000136,3000,200,1,19.501252239341074,1593.3171696662903
Maio,3.0688028648099532,0.0020137716943337152,-2.00000000000381,22.788431242039337,441.47347422500115,1500.0000000000014,3000,200,1,13.763238016504983,1577.1185216903687
Junho,2.5824536815227015,0.0020355487439266784,-2.000000000000046,25.440216682713903,230.22715043242476,1500.0,3000,200,1,12.763305898637972,1557.638925075531
Julho,2.6277612531666845,0.0012431098211981273,-32.8222666510843,10.320427548145688,557.0771665399482,1500.0,3000,200,1,24.00584615583527,1577.4837851524353
Agosto,1.7272210548639217,0.0020663239598758204,-11.035372153920516,29.33006771188259,175.95497167348765,2146.005406302868,3000,200,1,21.84200441484883,1555.998408317566
Setembro,1.8719182713529923,0.0020386205937429677,-24.65891234861249,8.993040758875978,254.12107356335986,1608.613819379719,3000,200,1,23.265221961043903,1572.9575872421265
Outubro,1.8624343391610536,0.0022823937490896304,-2.0,26.28089675321744,346.074502448056,1500.0,3000,200,1,31.269264985356294,1542.0057182312012
Novembro,2.5260942667800923,0.002428835352678831,-2.000000000000033,26.70610051841409,368.3920796947724,1500.0000000000073,3000,200,1,29.340696526602827,1557.4957616329193
Dezembro,2.626992926882913,0.0023912799938076794,-2.000000034370385,23.522521338315407,169.67057267427936,1734.6091660415275,3000,200,1,28.938367181091817,1559.35107254982
