Month,RMSE,LUE_Max,Tmin_min,Tmin_max,VPD_min,VPD_max,N_Pop,N_ger,Seed,Melhora %,Tempo_Exec(s)
Janeiro,3.1002446729573574,0.0016802686372010035,-2.0000000000000044,27.408904426299962,206.6567681083327,6499.999999999993,3000,200,1,6.120704582195551,1545.4116187095642
Fevereiro,3.9024289585886014,0.002168516807901783,-2.2170344897886434,27.00119887326612,257.6655656092082,2293.034665856701,3000,200,1,5.250784224329071,1543.4681005477905
Março,4.408623392531281,0.002222856239430904,-2.000000000000071,28.195427413268096,192.72265919183826,4330.949215719942,3000,200,1,8.064119847405191,1551.9547765254974
Abril,3.1386844699873917,0.0022340137253217232,-2.000000012938775,27.177031124001296,242.99300829442262,1668.275835029076,3000,200,1,7.918350460142949,1546.3885457515717
Maio,2.7936585503947704,0.0025322732789241557,-2.0000000000003495,29.993080161355238,306.86850675700555,1500.000000000001,3000,200,1,14.16469753990572,1548.1068227291107
Junho,2.8032767429189356,0.0022689176703908753,-2.0000000670469023,25.89913300964649,233.46526750940873,1768.6368340184906,3000,200,1,9.280826313583725,1549.9490010738373
Julho,2.9764132226031066,0.002371163087204487,-2.000000001304243,29.973746230768796,317.43667572809477,1861.3801516574833,3000,200,1,6.799618997733179,1550.9180085659027
Agosto,3.63328050150661,0.0013867154004154993,-2.000000000000111,26.82627902514285,999.9999999999985,6499.9999999999945,3000,200,1,2.9119929093447157,1549.7079722881317
Setembro,3.7289349527633724,0.001872086725760896,-2.000000000001709,27.778534924184576,415.92582718683065,6499.999999999899,3000,200,1,21.44154651931263,1545.7289686203003
Outubro,3.741776886085689,0.002076213105847624,-2.000000000000019,28.183131659751183,410.414370369387,6499.999999999991,3000,200,1,36.850924269122686,1539.7501883506775
Novembro,3.132511952943216,0.002155262555609216,-2.0000000744746353,29.99999999759492,624.8874689383595,5823.674881628042,3000,200,1,37.610357951282516,1551.6155478954315
Dezembro,3.4482918885237286,0.0018765520496584628,-2.000001182300872,26.929331169800165,999.999964867075,6094.196396476117,3000,200,1,28.884279354175135,1556.231763601303
