ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.04,-9999
1,TA,ERA_INTERCEPT,-0.97,-9999
1,TA,ERA_RMSE,1.36,-9999
1,TA,ERA_CORRELATION,0.78,-9999
2,PA,ERA_SLOPE,1.05,-9999
2,PA,ERA_INTERCEPT,-4.87,-9999
2,PA,ERA_RMSE,0.12,-9999
2,PA,ERA_CORRELATION,0.86,-9999
3,VPD,ERA_SLOPE,1.04,-9999
3,VPD,ERA_INTERCEPT,-0.18,-9999
3,VPD,ERA_RMSE,3.32,-9999
3,VPD,ERA_CORRELATION,0.69,-9999
4,WS,ERA_SLOPE,0.30,-9999
4,WS,ERA_INTERCEPT,1.50,-9999
4,WS,ERA_RMSE,0.82,-9999
4,WS,ERA_CORRELATION,0.30,-9999
5,P,ERA_SLOPE,-9999,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,0.98,-9999
6,SW_IN,ERA_INTERCEPT,11.46,-9999
6,SW_IN,ERA_RMSE,103.74,-9999
6,SW_IN,ERA_CORRELATION,0.92,-9999
7,LW_IN,ERA_SLOPE,-9999,-9999
7,LW_IN,ERA_INTERCEPT,-9999,-9999
7,LW_IN,ERA_RMSE,-9999,-9999
7,LW_IN,ERA_CORRELATION,-9999,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.94,-9999
8,LW_IN_JSB,ERA_RMSE,23.04,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.16,-9999
