ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2002
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2003
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2004
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2005
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2006
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2007
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2008
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2009
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2010
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2011
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2002
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2003
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2004
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2005
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2006
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2007
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2008
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2009
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2010
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2011
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.225371,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.253556,2002
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.2446,2003
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.23233,2004
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.220857,2005
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.2111,2006
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.148143,2007
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.189048,2008
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.207286,2009
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.211545,2010
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.200375,2011
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,46.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.216167,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2002
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.247458,2002
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2003
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.239,2003
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2004
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.2234,2004
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2005
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.21,2005
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2006
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.203667,2006
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,46.25,2007
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.1455,2007
