TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,24.702,24.172,0.204,25.15,0.684,172.491,419.718,3.723,97.788,7.126,1.353
19890102,24.921,24.464,0.402,25.307,0.653,179.191,419.179,3.856,97.742,7.805,1.424
19890103,25.12,24.602,0.793,25.558,0.911,184.092,421.165,3.859,97.723,8.853,1.422
19890104,24.811,24.583,0.27,25.005,0.532,142.813,426.972,3.736,97.795,7.983,1.827
19890105,24.776,24.472,0.149,25.033,0.508,136.002,423.293,3.596,97.817,7.984,1.889
19890106,25.338,24.755,0.868,25.832,1.204,193.445,411.728,4.507,97.733,7.849,1.946
19890107,25.102,24.781,0.612,25.373,1.136,184.526,412.583,4.962,97.68,8.012,2.292
19890108,24.697,24.148,0.406,25.162,0.819,175.011,410.221,4.373,97.633,10.375,1.635
19890109,24.122,23.832,0.333,24.368,0.684,127.928,414.535,3.754,97.731,9.876,1.114
19890110,24.014,23.562,0.356,24.395,0.625,113.77,413.951,3.674,97.85,8.779,1.432
19890111,24.57,24.068,0.961,24.994,1.246,178.811,418.971,4.577,97.866,2.898,0.941
19890112,25.619,24.813,1.314,26.302,1.939,226.197,411.33,6.442,97.805,5.814,1.288
19890113,24.414,24.26,0.225,24.544,0.425,97.646,423.389,3.596,97.866,10.122,1.284
19890114,24.79,24.328,0.361,25.181,0.723,160.462,424.325,3.637,97.891,8.83,1.193
19890115,24.67,24.268,0.329,25.011,0.666,159.198,423.358,3.727,97.892,8.174,1.415
19890116,24.6,24.061,0.305,25.056,0.864,184.736,416.097,3.952,97.861,7.143,1.875
19890117,25.293,24.602,1.109,25.878,1.651,241.433,407.065,5.259,97.809,4.517,1.841
19890118,25.124,24.547,0.642,25.612,0.963,210.755,407.41,3.913,97.762,8.686,1.765
19890119,25.741,24.93,1.233,26.427,1.858,247.947,403.581,5.672,97.661,4.096,1.788
19890120,25.922,25.236,1.186,26.503,1.907,238.221,406.129,7.106,97.641,1.822,2.277
19890121,24.849,24.609,0.344,25.052,0.619,151.638,408.917,4.848,97.701,4.932,2.213
19890122,24.675,24.278,0.48,25.011,0.776,161.51,413.501,3.928,97.756,9.536,1.869
19890123,24.766,24.215,0.609,25.232,0.866,188.242,411.444,3.998,97.735,9.197,1.903
19890124,24.526,24.061,0.494,24.92,0.897,164.22,417.195,3.935,97.724,9.846,1.547
19890125,24.772,24.364,0.506,25.117,0.943,174.307,419.395,4.46,97.722,5.415,1.123
19890126,24.538,24.131,0.452,24.882,0.632,143.372,419.352,3.627,97.729,6.987,1.281
19890127,24.435,23.954,0.611,24.842,1.023,186.087,415.151,3.948,97.728,13.602,1.205
19890128,24.348,24.13,0.41,24.531,0.665,80.884,419.611,3.906,97.732,6.678,1.591
19890129,24.941,24.232,0.528,25.542,1.085,154.546,427.006,4.492,97.737,17.422,1.625
19890130,24.412,23.961,0.4,24.793,0.67,118.089,420.806,4.083,97.757,15.84,0.825
19890131,24.182,23.824,0.205,24.485,0.486,81.745,419.036,3.873,97.784,7.344,1.233
19890201,23.905,23.653,0.517,24.119,0.781,90.996,414.304,3.613,97.845,7.839,1.203
19890202,24.021,23.701,0.277,24.292,0.526,107.312,420.677,3.473,97.849,11.354,1.043
19890203,24.365,23.986,0.633,24.685,0.888,138.855,417.991,4.057,97.854,7.862,1.295
19890204,25.056,24.407,1.086,25.604,1.483,215.971,413.2,5.22,97.903,3.625,1.376
19890205,25.028,24.533,0.728,25.447,1.346,192.862,411.712,4.541,97.889,6.593,1.228
19890206,24.726,24.239,0.474,25.137,0.874,200.818,408.201,4.15,97.868,8.322,1.747
19890207,24.667,24.073,0.686,25.17,0.744,174.988,419.361,3.674,97.797,10.908,1.633
19890208,24.719,24.142,0.357,25.208,0.645,167.504,420.891,3.62,97.814,9.042,1.56
