TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198901,24.8,24.33,0.552,25.197,0.924,166.43,416.336,4.291,97.763,8.179,1.562
198902,24.683,24.198,0.558,25.094,0.893,173.035,417.12,4.007,97.827,8.839,1.53
198903,24.574,24.127,0.472,24.952,0.813,147.317,421.098,3.904,97.79,10.416,1.279
198904,24.85,24.354,0.475,25.269,0.805,158.294,421.963,3.921,97.786,8.51,1.328
198905,24.622,24.118,0.491,25.049,0.827,149.154,419.79,3.914,97.971,8.14,1.193
198906,24.642,24.073,0.585,25.124,0.96,158.154,414.076,4.092,97.979,6.497,1.465
198907,24.649,23.93,0.69,25.257,1.177,176.11,407.642,4.625,98.039,6.403,1.513
198908,25.329,24.413,0.927,26.104,1.521,220.325,402.586,5.426,97.904,5.199,1.699
198909,25.953,24.873,1.025,26.867,1.645,246.46,404.88,6.329,97.735,4.432,1.685
198910,25.573,24.762,0.772,26.258,1.247,226.328,412.308,5.236,97.796,5.822,1.557
198911,25.885,25.128,0.738,26.526,1.198,207.985,416.383,5.426,97.638,5.194,1.5
198912,25.665,25.092,0.61,26.149,1.032,188.64,418.519,5.156,97.743,6.512,1.689
199001,25.098,24.657,0.563,25.471,0.893,173.443,417.47,4.236,97.708,7.595,1.77
199002,25.151,24.713,0.539,25.523,0.847,174.686,420.446,4.028,97.802,9.186,1.593
199003,25.033,24.563,0.51,25.431,0.841,164.746,421.668,4.025,97.823,8.805,1.646
199004,25.258,24.785,0.485,25.658,0.788,160.498,424.033,4.004,97.754,7.743,1.384
199005,25.148,24.602,0.528,25.61,0.929,163.495,418.3,4.217,97.871,6.194,1.483
199006,24.813,24.179,0.637,25.35,1.012,158.826,412.301,4.241,97.984,5.693,1.628
199007,24.547,23.961,0.591,25.043,0.97,167.392,413.061,4.061,98.028,6.864,1.379
199008,25.013,24.175,0.865,25.723,1.354,193.643,405.477,5.029,97.994,5.306,1.678
