TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1989,25.103,24.45,0.658,25.655,1.088,184.864,414.37,4.697,97.831,2557.298,1.5
1990,25.365,24.704,0.671,25.924,1.096,191.251,414.86,4.809,97.827,2335.167,1.644
1991,25.526,24.824,0.719,26.12,1.184,198.296,412.764,5.307,97.825,2401.407,1.752
1992,25.624,24.925,0.736,26.214,1.224,204.945,410.135,5.526,97.782,2155.111,1.947
1993,25.307,24.661,0.696,25.855,1.121,192.069,411.474,4.941,97.826,2260.079,1.727
1994,25.216,24.611,0.637,25.729,1.068,185.027,412.729,4.755,97.835,2638.313,1.666
1995,25.655,25.0,0.674,26.208,1.136,198.968,413.754,5.158,97.81,2439.999,1.67
1996,25.393,24.747,0.644,25.94,1.096,195.011,413.01,4.922,97.811,2606.416,1.562
1997,26.07,25.352,0.762,26.677,1.297,210.78,412.725,6.175,97.806,2332.741,1.867
1998,26.307,25.592,0.769,26.912,1.31,216.262,415.611,5.892,97.793,2226.412,1.792
1999,25.439,24.73,0.702,26.038,1.217,196.259,412.886,5.113,97.807,2500.901,1.536
2000,25.312,24.647,0.686,25.875,1.151,192.236,412.561,4.978,97.813,2708.464,1.589
2001,25.558,24.882,0.681,26.131,1.16,196.292,413.257,5.248,97.825,2449.694,1.819
2002,25.932,25.215,0.739,26.538,1.268,207.126,413.724,5.892,97.818,2335.608,1.889
2003,25.851,25.16,0.689,26.436,1.2,198.945,414.569,5.483,97.813,2458.681,1.904
2004,25.552,24.915,0.624,26.091,1.073,182.229,415.904,5.054,97.797,2850.217,1.755
2005,25.866,25.235,0.612,26.4,1.096,187.511,417.186,5.245,97.748,2794.713,1.772
2006,25.728,25.079,0.665,26.277,1.16,185.1,415.692,5.472,97.778,3181.543,1.811
2007,25.895,25.198,0.694,26.485,1.277,197.744,415.679,5.668,97.761,2652.721,1.915
2008,25.654,24.965,0.673,26.237,1.215,193.168,415.087,5.359,97.749,2711.676,1.756
2009,26.18,25.447,0.78,26.8,1.34,202.773,415.848,6.458,97.737,2522.346,1.961
2010,26.305,25.604,0.714,26.897,1.278,203.462,417.579,5.926,97.712,2556.395,1.85
2011,25.888,25.234,0.645,26.441,1.204,195.237,416.467,5.464,97.717,2760.94,1.875
2012,26.073,25.4,0.691,26.641,1.273,202.934,415.129,6.031,97.752,2651.598,1.987
2013,25.974,25.4,0.616,26.459,1.15,192.347,417.777,5.324,97.757,2987.234,1.99
2014,26.212,25.573,0.681,26.753,1.273,205.111,415.927,6.061,97.774,2546.678,2.151
