index,GPP
2018-01-01,53.8
2018-01-09,59.9
2018-01-17,62.2
2018-01-25,74.7
2018-02-02,68.9
2018-02-10,62.7
2018-02-18,64.9
2018-02-26,59.50000000000001
2018-03-06,65.9
2018-03-14,55.800000000000004
2018-03-22,43.8
2018-03-30,48.9
2018-04-07,50.4
2018-04-15,53.7
2018-04-23,61.7
2018-05-01,58.9
2018-05-09,49.4
2018-05-17,51.2
2018-05-25,63.9
2018-06-02,60.1
2018-06-10,54.400000000000006
2018-06-18,73.2
2018-06-26,65.0
2018-07-04,68.4
2018-07-12,81.3
2018-07-20,77.0
2018-07-28,54.800000000000004
2018-08-05,68.2
2018-08-13,71.4
2018-08-21,76.4
2018-08-29,63.30000000000001
2018-09-06,77.89999999999999
2018-09-14,71.4
2018-09-22,77.89999999999999
2018-09-30,60.900000000000006
2018-10-08,64.10000000000001
2018-10-16,64.60000000000001
2018-10-24,66.2
2018-11-01,61.3
2018-11-09,62.6
2018-11-17,51.2
2018-11-25,58.300000000000004
2018-12-03,61.1
2018-12-11,61.900000000000006
2018-12-19,60.6
2018-12-27,40.5
2019-01-01,52.50000000000001
2019-01-09,47.199999999999996
2019-01-17,39.5
2019-01-25,41.60000000000001
2019-02-02,56.7
2019-02-10,51.1
2019-02-18,46.0
2019-02-26,54.2
2019-03-06,58.2
2019-03-14,54.300000000000004
2019-03-22,55.1
2019-03-30,54.5
2019-04-07,63.30000000000001
2019-04-15,58.5
2019-04-23,58.800000000000004
2019-05-01,62.400000000000006
2019-05-09,60.2
2019-05-17,62.5
2019-05-25,52.2
2019-06-02,62.1
2019-06-10,57.5
2019-06-18,49.2
2019-06-26,55.900000000000006
2019-07-04,49.9
2019-07-12,46.1
2019-07-20,66.3
2019-07-28,82.4
2019-08-05,85.4
2019-08-13,68.7
2019-08-21,52.900000000000006
2019-08-29,75.2
2019-09-06,66.0
2019-09-14,54.400000000000006
2019-09-22,67.8
2019-09-30,63.70000000000001
2019-10-08,75.1
2019-10-16,67.10000000000001
2019-10-24,64.4
2019-11-01,71.8
2019-11-09,56.6
2019-11-17,63.9
2019-11-25,54.1
2019-12-03,52.8
2019-12-11,55.7
2019-12-19,56.2
2019-12-27,33.6
