index,GPP
2018-01-01,12.2157
2018-01-02,13.8377
2018-01-03,12.2188
2018-01-04,13.6274
2018-01-05,12.4859
2018-01-06,14.1818
2018-01-07,12.3532
2018-01-08,12.575
2018-01-09,13.8751
2018-01-10,10.8394
2018-01-11,11.3783
2018-01-12,10.3903
2018-01-13,9.92426
2018-01-14,11.375
2018-01-15,6.64569
2018-01-16,7.36654
2018-01-17,12.3486
2018-01-18,14.5746
2018-01-19,8.72988
2018-01-20,13.7842
2018-01-21,15.1566
2018-01-22,16.884
2018-01-23,14.7023
2018-01-24,12.6379
2018-01-25,11.1784
2018-01-26,12.7132
2018-01-27,14.159
2018-01-28,14.6602
2018-01-29,14.0035
2018-01-30,14.7686
2018-01-31,14.2571
2018-02-01,12.4533
2018-02-02,14.1697
2018-02-03,11.5215
2018-02-04,15.3124
2018-02-05,11.5404
2018-02-06,9.70004
2018-02-07,11.3807
2018-02-08,13.8966
2018-02-09,12.0461
2018-02-10,9.0651
2018-02-11,11.3616
2018-02-12,10.1386
2018-02-13,6.2803
2018-02-14,9.85668
2018-02-15,11.1251
2018-02-16,11.36
2018-02-17,12.8018
2018-02-18,13.9173
2018-02-19,13.2566
2018-02-20,16.073
2018-02-21,14.1625
2018-02-22,14.2619
2018-02-23,12.7553
2018-02-24,10.8881
2018-02-25,9.23439
2018-02-26,7.41862
2018-02-27,9.53594
2018-02-28,13.343
2018-03-01,10.7488
2018-03-02,11.4671
2018-03-03,14.3707
2018-03-04,13.8907
2018-03-05,14.594
2018-03-06,12.6053
2018-03-07,10.4273
2018-03-08,6.96436
2018-03-09,8.56728
2018-03-10,10.7822
2018-03-11,13.918
2018-03-12,13.9949
2018-03-13,11.4971
2018-03-14,9.01999
2018-03-15,10.1713
2018-03-16,10.9241
2018-03-17,12.041
2018-03-18,12.4615
2018-03-19,11.9853
2018-03-20,9.46627
2018-03-21,14.5917
2018-03-22,14.8222
2018-03-23,12.2837
2018-03-24,13.0659
2018-03-25,11.6724
2018-03-26,13.632
2018-03-27,12.5282
2018-03-28,16.7109
2018-03-29,9.25264
2018-03-30,10.0009
2018-03-31,11.787
2018-04-01,9.16835
2018-04-02,8.35982
2018-04-03,4.97815
2018-04-04,11.7042
2018-04-05,10.8149
2018-04-06,9.63585
2018-04-07,9.66963
2018-04-08,4.65233
2018-04-09,8.79896
2018-04-10,8.98804
2018-04-11,9.8363
2018-04-12,10.1346
2018-04-13,7.69474
2018-04-14,10.4001
2018-04-15,7.74548
2018-04-16,6.89833
2018-04-17,7.6518
2018-04-18,8.14625
2018-04-19,7.41219
2018-04-20,9.06851
2018-04-21,9.63281
2018-04-22,6.67384
2018-04-23,11.6554
2018-04-24,7.35409
2018-04-25,8.03407
2018-04-26,9.95846
2018-04-27,9.72338
2018-04-28,10.1803
2018-04-29,9.41571
2018-04-30,8.08794
2018-05-01,7.14786
2018-05-02,9.87345
2018-05-03,10.0536
2018-05-04,8.49433
2018-05-05,3.73615
2018-05-06,8.123
2018-05-07,5.51092
2018-05-08,8.2249
2018-05-09,8.63108
2018-05-10,9.69144
2018-05-11,9.86509
2018-05-12,6.86327
2018-05-13,7.14034
2018-05-14,8.14152
2018-05-15,7.66069
2018-05-16,8.64047
2018-05-17,6.96687
2018-05-18,9.02779
2018-05-19,8.76832
2018-05-20,8.88568
2018-05-21,8.82847
2018-05-22,9.66648
2018-05-23,11.1902
2018-05-24,8.49462
2018-05-25,11.6736
2018-05-26,8.63454
2018-05-27,7.29069
2018-05-28,6.47543
2018-05-29,7.23099
2018-05-30,8.50521
2018-05-31,10.3529
2018-06-01,8.37092
2018-06-02,9.81896
2018-06-03,5.46565
2018-06-04,7.41442
2018-06-05,6.30878
2018-06-06,7.29277
2018-06-07,10.0133
2018-06-08,9.43337
2018-06-09,6.83567
2018-06-10,5.63756
2018-06-11,3.90549
2018-06-12,7.56193
2018-06-13,7.90221
2018-06-14,6.86398
2018-06-15,5.86457
2018-06-16,4.0964
2018-06-17,6.31459
2018-06-18,6.4507
2018-06-19,7.85101
2018-06-20,7.00738
2018-06-21,6.20145
2018-06-22,6.37799
2018-06-23,5.68122
2018-06-24,6.87996
2018-06-25,7.79303
2018-06-26,7.81739
2018-06-27,8.56923
2018-06-28,7.71818
2018-06-29,10.1035
2018-06-30,9.76067
2018-07-01,8.54782
2018-07-02,6.85182
2018-07-03,4.68711
2018-07-04,2.74177
2018-07-05,3.47038
2018-07-06,4.30047
2018-07-07,5.85261
2018-07-08,5.9457
2018-07-09,6.33136
2018-07-10,2.48725
2018-07-11,10.083
2018-07-12,10.1298
2018-07-13,9.23288
2018-07-14,10.5149
2018-07-15,8.54486
2018-07-16,4.6333
2018-07-17,3.77743
2018-07-18,4.09062
2018-07-19,6.25423
2018-07-20,3.79097
2018-07-21,3.15469
2018-07-22,2.38257
2018-07-23,4.88621
2018-07-24,5.53057
2018-07-25,3.69173
2018-07-26,4.53435
2018-07-27,5.11584
2018-07-28,3.98694
2018-07-29,3.00278
2018-07-30,5.1578
2018-07-31,5.58227
2018-08-01,4.13787
2018-08-02,7.74382
2018-08-03,6.43881
2018-08-04,6.62639
2018-08-05,7.73775
2018-08-06,6.75633
2018-08-07,5.14034
2018-08-08,7.66595
2018-08-09,6.42877
2018-08-10,6.58047
2018-08-11,7.24852
2018-08-12,8.95703
2018-08-13,9.69001
2018-08-14,9.46687
2018-08-15,7.20002
2018-08-16,8.25815
2018-08-17,11.1764
2018-08-18,11.3826
2018-08-19,11.2552
2018-08-20,7.40649
2018-08-21,8.50714
2018-08-22,10.6869
2018-08-23,11.5624
2018-08-24,9.85447
2018-08-25,5.74448
2018-08-26,8.55965
2018-08-27,8.89431
2018-08-28,8.89434
2018-08-29,10.0963
2018-08-30,6.56298
2018-08-31,7.86991
2018-09-01,7.30136
2018-09-02,7.62504
2018-09-03,4.1196
2018-09-04,8.77442
2018-09-05,10.6187
2018-09-06,9.50878
2018-09-07,8.90685
2018-09-08,10.3878
2018-09-09,9.17261
2018-09-10,9.24161
2018-09-11,10.8663
2018-09-12,10.9601
2018-09-13,8.86035
2018-09-14,7.99776
2018-09-15,7.13489
2018-09-16,7.55882
2018-09-17,7.22557
2018-09-18,6.04603
2018-09-19,7.62681
2018-09-20,7.97827
2018-09-21,7.93195
2018-09-22,7.47934
2018-09-23,8.73648
2018-09-24,8.61625
2018-09-25,7.77277
2018-09-26,7.81116
2018-09-27,8.03206
2018-09-28,8.42142
2018-09-29,10.8335
2018-09-30,11.7339
2018-10-01,10.5212
2018-10-02,11.4336
2018-10-03,8.83167
2018-10-04,11.2658
2018-10-05,8.4876
2018-10-06,9.76387
2018-10-07,9.48358
2018-10-08,11.1716
2018-10-09,10.0051
2018-10-10,11.0257
2018-10-11,8.69547
2018-10-12,8.9657
2018-10-13,11.0394
2018-10-14,6.68506
2018-10-15,8.66916
2018-10-16,6.4841
2018-10-17,7.4523
2018-10-18,7.73572
2018-10-19,8.14263
2018-10-20,9.18366
2018-10-21,7.4054
2018-10-22,9.79725
2018-10-23,10.4797
2018-10-24,10.0213
2018-10-25,7.86688
2018-10-26,5.55848
2018-10-27,9.8352
2018-10-28,9.48788
2018-10-29,11.24
2018-10-30,12.5306
2018-10-31,12.2264
2018-11-01,6.88137
2018-11-02,10.9521
2018-11-03,9.05835
2018-11-04,6.22677
2018-11-05,8.82297
2018-11-06,8.14995
2018-11-07,8.41168
2018-11-08,8.10093
2018-11-09,9.20391
2018-11-10,9.36444
2018-11-11,10.913
2018-11-12,8.52874
2018-11-13,10.1581
2018-11-14,11.6846
2018-11-15,13.6101
2018-11-16,12.3402
2018-11-17,10.0539
2018-11-18,9.61307
2018-11-19,10.7163
2018-11-20,11.0941
2018-11-21,10.3179
2018-11-22,11.0662
2018-11-23,11.5994
2018-11-24,13.7344
2018-11-25,12.759
2018-11-26,8.18414
2018-11-27,11.6079
2018-11-28,11.3825
2018-11-29,13.9628
2018-11-30,10.5707
2018-12-01,12.0649
2018-12-02,13.9991
2018-12-03,13.5376
2018-12-04,14.1147
2018-12-05,12.8189
2018-12-06,7.08276
2018-12-07,12.8611
2018-12-08,8.74638
2018-12-09,11.6508
2018-12-10,14.3927
2018-12-11,12.7991
2018-12-12,12.4067
2018-12-13,7.93098
2018-12-14,9.18835
2018-12-15,10.2398
2018-12-16,10.3187
2018-12-17,11.2171
2018-12-18,8.85685
2018-12-19,9.82817
2018-12-20,9.19966
2018-12-21,8.18972
2018-12-22,7.08956
2018-12-23,9.97573
2018-12-24,9.45454
2018-12-25,10.769
2018-12-26,10.3738
2018-12-27,12.2387
2018-12-28,9.80476
2018-12-29,7.55826
2018-12-30,10.9194
2018-12-31,16.8173
2019-01-01,3.14722
2019-01-02,8.71851
2019-01-03,6.8748
2019-01-04,8.50993
2019-01-05,8.64225
2019-01-06,8.087
2019-01-07,7.79512
2019-01-08,4.06804
2019-01-09,7.21674
2019-01-10,9.15294
2019-01-11,7.49212
2019-01-12,7.50902
2019-01-13,7.33038
2019-01-14,10.174
2019-01-15,4.45253
2019-01-16,7.84562
2019-01-17,8.07957
2019-01-18,10.8601
2019-01-19,12.6269
2019-01-20,9.03538
2019-01-21,8.43153
2019-01-22,8.40845
2019-01-23,8.9626
2019-01-24,10.1374
2019-01-25,10.638
2019-01-26,12.2858
2019-01-27,11.7183
2019-01-28,10.6726
2019-01-29,13.4783
2019-01-30,11.1442
2019-01-31,5.32804
2019-02-01,11.1466
2019-02-02,12.8797
2019-02-03,11.3982
2019-02-04,10.6343
2019-02-05,10.098
2019-02-06,10.4571
2019-02-07,9.60361
2019-02-08,8.85859
2019-02-09,11.1224
2019-02-10,9.1259
2019-02-11,3.58156
2019-02-12,2.57634
2019-02-13,6.10666
2019-02-14,8.3636
2019-02-15,7.70098
2019-02-16,6.61808
2019-02-17,9.1609
2019-02-18,11.5487
2019-02-19,6.74856
2019-02-20,9.05525
2019-02-21,12.0722
2019-02-22,8.87527
2019-02-23,13.9668
2019-02-24,10.6643
2019-02-25,11.4757
2019-02-26,10.2725
2019-02-27,10.1399
2019-02-28,13.8003
2019-03-01,10.3839
2019-03-02,13.4852
2019-03-03,12.6583
2019-03-04,10.7478
2019-03-05,10.0504
2019-03-06,11.6985
2019-03-07,7.61801
2019-03-08,13.3858
2019-03-09,12.4654
2019-03-10,11.689
2019-03-11,12.9198
2019-03-12,10.4144
2019-03-13,12.0658
2019-03-14,13.6455
2019-03-15,11.5451
2019-03-16,12.7935
2019-03-17,12.2711
2019-03-18,9.18819
2019-03-19,9.54176
2019-03-20,7.4528
2019-03-21,12.0752
2019-03-22,10.486
2019-03-23,11.1765
2019-03-24,10.8886
2019-03-25,9.94263
2019-03-26,8.15083
2019-03-27,9.06333
2019-03-28,6.29233
2019-03-29,8.85086
2019-03-30,7.95586
2019-03-31,11.7443
2019-04-01,10.5225
2019-04-02,11.4842
2019-04-03,10.5167
2019-04-04,12.0696
2019-04-05,10.3685
2019-04-06,12.3176
2019-04-07,6.31192
2019-04-08,11.0144
2019-04-09,11.2157
2019-04-10,9.74087
2019-04-11,10.9529
2019-04-12,9.98103
2019-04-13,11.6648
2019-04-14,9.88707
2019-04-15,9.31601
2019-04-16,6.65628
2019-04-17,3.93852
2019-04-18,8.15978
2019-04-19,7.45279
2019-04-20,11.0844
2019-04-21,5.95251
2019-04-22,6.19389
2019-04-23,7.08622
2019-04-24,9.86881
2019-04-25,8.63533
2019-04-26,9.81203
2019-04-27,9.17026
2019-04-28,9.03501
2019-04-29,9.16168
2019-04-30,9.24153
2019-05-01,5.2625
2019-05-02,10.717
2019-05-03,9.00532
2019-05-04,6.43252
2019-05-05,8.34605
2019-05-06,10.5923
2019-05-07,7.86308
2019-05-08,6.24248
2019-05-09,7.86496
2019-05-10,6.25277
2019-05-11,8.6364
2019-05-12,10.0965
2019-05-13,10.1618
2019-05-14,11.0558
2019-05-15,10.0013
2019-05-16,9.00359
2019-05-17,11.0635
2019-05-18,10.3201
2019-05-19,9.99085
2019-05-20,8.64963
2019-05-21,8.95116
2019-05-22,7.12073
2019-05-23,5.60864
2019-05-24,7.08359
2019-05-25,5.61056
2019-05-26,5.90621
2019-05-27,9.56902
2019-05-28,10.2282
2019-05-29,11.1843
2019-05-30,11.233
2019-05-31,9.67392
2019-06-01,9.96321
2019-06-02,10.801
2019-06-03,8.45642
2019-06-04,5.01626
2019-06-05,10.213
2019-06-06,9.83779
2019-06-07,13.3951
2019-06-08,11.0589
2019-06-09,4.71646
2019-06-10,1.87665
