index,GPP
2002-01-01,51.21983
2002-01-09,71.69474
2002-01-17,66.7365
2002-01-25,76.49781
2002-02-02,72.59743
2002-02-10,79.52427
2002-02-18,56.602419999999995
2002-02-26,57.33695
2002-03-06,78.69448
2002-03-14,71.561
2002-03-22,97.74304
2002-03-30,68.92758
2002-04-07,80.13066
2002-04-15,72.97559
2002-04-23,78.45817
2002-05-01,75.9021
2002-05-09,78.99649
2002-05-17,75.59904
2002-05-25,65.47424
2002-06-02,78.83338
2002-06-10,71.5345
2002-06-18,73.42913
2002-06-26,80.06393
2002-07-04,79.3265
2002-07-12,72.18134
2002-07-20,68.13251
2002-07-28,65.789
2002-08-05,60.824
2002-08-13,73.14237
2002-08-21,61.33177
2002-08-29,65.87066
2002-09-06,72.40018
2002-09-14,63.41631
2002-09-22,73.8988
2002-09-30,71.02998
2002-10-08,90.5238
2002-10-16,99.6378
2002-10-24,102.6924
2002-11-01,59.79093
2002-11-09,82.6677
2002-11-17,96.3087
2002-11-25,85.2014
2002-12-03,75.03829
2002-12-11,95.4727
2002-12-19,89.9657
2002-12-27,52.77355
2003-01-01,78.41893
2003-01-09,60.49656
2003-01-17,79.43019
2003-01-25,91.3262
2003-02-02,78.61135
2003-02-10,85.82133999999999
2003-02-18,93.0848
2003-02-26,77.39152
2003-03-06,91.22494
2003-03-14,88.15545
2003-03-22,78.71516
2003-03-30,91.48918
2003-04-07,89.53584000000001
2003-04-15,72.42423
2003-04-23,80.49855
2003-05-01,86.1707
2003-05-09,97.33
2003-05-17,70.42842999999999
2003-05-25,71.72435
2003-06-02,63.69736
2003-06-10,83.01619
2003-06-18,87.20108
2003-06-26,57.27305
2003-07-04,75.01677
2003-07-12,67.22056
2003-07-20,65.97099
2003-07-28,66.52775
2003-08-05,70.53885
2003-08-13,60.48947
2003-08-21,56.11171
2003-08-29,79.14193
2003-09-06,83.98222
2003-09-14,82.7217
2003-09-22,69.56871000000001
2003-09-30,84.36225
2003-10-08,76.46823
2003-10-16,82.98327
2003-10-24,94.06603
2003-11-01,92.21932
2003-11-09,82.72498
2003-11-17,88.81573
2003-11-25,84.26883
2003-12-03,80.53127
2003-12-11,88.592
2003-12-19,73.97584
2003-12-27,53.0826
2004-01-01,83.67936
2004-01-09,86.4436
2004-01-17,90.50607
2004-01-25,85.23319000000001
2004-02-02,76.99206
2004-02-10,93.37878
2004-02-18,76.33292
2004-02-26,103.43314
2004-03-05,81.87271
2004-03-13,87.71278000000001
2004-03-21,79.95662
2004-03-29,80.36308
2004-04-06,59.93907
2004-04-14,58.52919
2004-04-22,69.09287
2004-04-30,65.17256
2004-05-08,63.418800000000005
2004-05-16,66.7967
2004-05-24,73.6278
2004-06-01,67.05922
2004-06-09,75.09085
2004-06-17,69.57695
2004-06-25,84.55953
2004-07-03,74.64563
2004-07-11,61.9379
2004-07-19,60.407650000000004
2004-07-27,47.91973
2004-08-04,50.961749999999995
2004-08-12,63.863510000000005
2004-08-20,67.20993
2004-08-28,88.44334
2004-09-05,77.84951
2004-09-13,90.58964
2004-09-21,95.0137
2004-09-29,84.05964
2004-10-07,78.95542
2004-10-15,82.52484
2004-10-23,70.12474999999999
2004-10-31,65.73058999999999
2004-11-08,72.93031
2004-11-16,63.559200000000004
2004-11-24,62.97304
2004-12-02,73.96528
2004-12-10,84.88648
2004-12-18,67.69891
2004-12-26,52.913650000000004
2005-01-01,67.98116
2005-01-09,65.06757
2005-01-17,64.74373
2005-01-25,64.81978
2005-02-02,63.76575
2005-02-10,60.79141
2005-02-18,77.62409
2005-02-26,76.30839
2005-03-06,88.35076
2005-03-14,77.35705
2005-03-22,94.28282
2005-03-30,90.44733
2005-04-07,77.31243
2005-04-15,80.92877
2005-04-23,73.51938
2005-05-01,75.0046
2005-05-09,89.52466
2005-05-17,86.17074
2005-05-25,77.46668
2005-06-02,92.5338
2005-06-10,98.9826
2005-06-18,93.3937
2005-06-26,103.7811
2005-07-04,87.52877
2005-07-12,120.28960000000001
2005-07-20,108.9645
2005-07-28,131.4651
2005-08-05,119.0009
2005-08-13,116.5574
2005-08-21,129.52960000000002
2005-08-29,137.8217
2005-09-06,135.7969
2005-09-14,135.5648
2005-09-22,130.8943
2005-09-30,132.5843
2005-10-08,132.859
2005-10-16,134.74439999999998
2005-10-24,120.70909999999999
2005-11-01,132.4742
2005-11-09,124.3764
2005-11-17,90.21581
2005-11-25,85.58231
2005-12-03,81.46705
2005-12-11,64.9501
2005-12-19,79.79554
2005-12-27,43.79066
2006-01-01,85.03902
2006-01-09,81.17564
2006-01-17,91.26751999999999
2006-01-25,96.0099
2006-02-02,79.47767999999999
2006-02-10,67.84765
2006-02-18,76.82306
2006-02-26,83.26794
2006-03-06,92.65714
2006-03-14,77.69382
2006-03-22,74.14504
2006-03-30,85.08574
2006-04-07,66.443545
2006-04-15,78.54763
2006-04-23,56.93971
2006-05-01,63.52306
2006-05-09,65.74322
2006-05-17,78.74858
2006-05-25,71.14101
2006-06-02,82.96169
2006-06-10,82.81668
2006-06-18,98.77595
2006-06-26,95.70523
2006-07-04,99.8417
2006-07-12,101.91199
2006-07-20,102.5993
2006-07-28,99.9665
2006-08-05,118.0805
2006-08-13,114.0929
2006-08-21,109.6274
2006-08-29,113.42099999999999
2006-09-06,108.437
2006-09-14,113.4464
2006-09-22,115.1862
2006-09-30,123.252
2006-10-08,117.2202
2006-10-16,114.2738
2006-10-24,124.286
2006-11-01,119.536
2006-11-09,86.98672
2006-11-17,99.55396
2006-11-25,108.6378
2006-12-03,118.8155
2006-12-11,107.51050000000001
2006-12-19,112.9731
2006-12-27,74.2795
2008-01-01,41.19518
2008-01-09,36.61298
2008-01-17,35.75802
2008-01-25,36.58855
2008-02-02,41.85097
2008-02-10,39.86211
2008-02-18,36.158789999999996
2008-02-26,37.30462
2008-03-05,41.02294
2008-03-13,36.75814
2008-03-21,35.37993
2008-03-29,36.8864
2008-04-06,39.08085
2008-04-14,36.08517
2008-04-22,34.04312
2008-04-30,28.46741
2008-05-08,35.00655
2008-05-16,33.10517
2008-05-24,34.50887
2008-06-01,35.52559
2008-06-09,41.12694
2008-06-17,38.83619
2008-06-25,51.45823
