,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.475021362304688,8.439005851745605,8.939001083374023,9.166260719299316,104
1,PatchTST,{},6318090,7.410764217376709,7.454041004180908,7.94914436340332,8.462092399597168,98
2,XCMPlus,{},5635,7.285463333129883,7.253576755523682,7.751682281494141,8.115435600280762,48
3,ConvTranPlus,{},12224,5.417953968048096,5.31480073928833,5.808051109313965,6.252649784088135,61
4,ResNetPlus,{},478337,4.287633895874023,4.335987091064453,4.833353042602539,5.250699043273926,80
5,InceptionTimePlus,{},454977,4.308014869689941,4.286558151245117,4.781177043914795,5.288602828979492,123
6,RNNPlus,{},10401,4.08762264251709,4.078944683074951,4.566751003265381,5.372600078582764,31
7,TSSequencerPlus,{},210481,0.9362183213233948,0.9207573533058167,1.3169515132904053,1.8648512363433838,167
8,TransformerLSTMPlus,{},858753,0.9516012072563171,0.9044036865234375,1.2952581644058228,1.830527901649475,68
9,XceptionTimePlus,{},234865,1.0193657875061035,0.89101243019104,1.2925223112106323,1.8665812015533447,93
10,TransformerGRUPlus,{},792705,0.9185709953308105,0.8804194927215576,1.271897554397583,1.8037753105163574,64
